,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2019-05-07T00:00:00.000Z,8.86,9.06,8.7548,8.95,220417,8.3358873239,8.524056338,8.2369104225,8.4205633803,220417,0.0,1.0
1,2019-05-08T00:00:00.000Z,8.96,9.06,8.75,8.89,306662,8.429971831,8.524056338,8.2323943662,8.3641126761,306662,0.0,1.0
2,2019-05-09T00:00:00.000Z,8.86,9.01,8.73,8.85,313394,8.3358873239,8.4770140845,8.2135774648,8.3264788732,313394,0.0,1.0
3,2019-05-10T00:00:00.000Z,8.85,9.09,8.78,8.79,389243,8.3264788732,8.5522816901,8.2606197183,8.270028169,389243,0.0,1.0
4,2019-05-13T00:00:00.000Z,8.52,8.68,8.43,8.66,239240,8.016,8.1665352113,7.9313239437,8.1477183099,239240,0.0,1.0
5,2019-05-14T00:00:00.000Z,8.52,8.6,8.28,8.56,1066613,8.016,8.0912676056,7.7901971831,8.0536338028,1066613,0.0,1.0
6,2019-05-15T00:00:00.000Z,8.16,9.5,7.37,9.46,3248735,7.6772957746,8.938028169,6.934028169,8.9003943662,3248735,0.0,1.0
7,2019-05-16T00:00:00.000Z,8.17,8.42,8.12,8.18,662934,7.6867042254,7.921915493,7.6396619718,7.6961126761,662934,0.0,1.0
8,2019-05-17T00:00:00.000Z,8.01,8.425,7.96,8.14,558846,7.5361690141,7.9266197183,7.4891267606,7.6584788732,558846,0.0,1.0
9,2019-05-20T00:00:00.000Z,7.92,8.0,7.69,7.93,543915,7.4514929577,7.5267605634,7.2350985915,7.4609014085,543915,0.0,1.0
10,2019-05-21T00:00:00.000Z,7.86,7.98,7.76,7.98,497416,7.3950422535,7.507943662,7.3009577465,7.507943662,497416,0.0,1.0
11,2019-05-22T00:00:00.000Z,7.83,7.935,7.76,7.78,396881,7.3668169014,7.4656056338,7.3009577465,7.3197746479,396881,0.0,1.0
